method;problem;mean;median;best;
general_VNS_small;A-n39-k5.vrp;843.5197414949553;838.7915769441508;717.2381372687456;
general_VNS_mid;A-n39-k5.vrp;651.3791884549618;653.2332805917559;595.6279733691565;
general_VNS_big;A-n39-k5.vrp;631.1100853257224;627.4114176348098;591.9404253407356;
general_VNS_small;A-n39-k6.vrp;838.1635996196827;852.4766221515148;737.4140514750773;
general_VNS_mid;A-n39-k6.vrp;652.7182783713143;653.136481183512;587.9162085064163;
general_VNS_big;A-n39-k6.vrp;645.9282095707586;646.0748447465053;588.2294604912634;
general_VNS_small;A-n44-k7.vrp;947.1935959417558;949.4780859511234;826.3562141718229;
general_VNS_mid;A-n44-k7.vrp;727.1198318149923;717.5537897834099;691.5384233851213;
general_VNS_big;A-n44-k7.vrp;699.2384456932189;697.092501066302;683.6404409723335;
general_VNS_small;A-n45-k6.vrp;951.6654895018562;952.3892643461072;853.6398440716325;
general_VNS_mid;A-n45-k6.vrp;667.239454919512;655.102262166419;647.8877823859945;
general_VNS_big;A-n45-k6.vrp;656.2412868000248;654.1611122682955;647.8877823859943;
general_VNS_small;A-n45-k7.vrp;1037.0506937532816;1034.4210291688307;845.8032710995257;
general_VNS_mid;A-n45-k7.vrp;674.6063334907564;674.6192887376221;599.5804146069211;
general_VNS_big;A-n45-k7.vrp;652.5623765410548;645.7939756668322;594.6313337832491;
general_VNS_small;A-n46-k7.vrp;911.1865504334371;920.9163698725906;790.7126927750209;
general_VNS_mid;A-n46-k7.vrp;658.4806277523169;653.3984419050576;616.316388242627;
general_VNS_big;A-n46-k7.vrp;630.1838606042872;620.9218273075805;611.0633641768247;
general_VNS_small;A-n48-k7.vrp;1103.0584463607165;1100.2368521572096;940.3752852423986;
general_VNS_mid;A-n48-k7.vrp;721.6945426157682;718.9063239910911;682.399273400535;
general_VNS_big;A-n48-k7.vrp;704.4973858995967;703.6347437842301;680.2448398060892;
general_VNS_small;A-n53-k7.vrp;1072.061446986714;1069.9556516805228;957.3392167497798;
general_VNS_mid;A-n53-k7.vrp;696.1489906376539;689.0735952549303;663.2934708614358;
general_VNS_big;A-n53-k7.vrp;675.7195361669818;667.5318289649888;661.4526215569387;
general_VNS_small;A-n54-k7.vrp;1148.3521911990154;1162.892636241861;939.3685115177552;
general_VNS_mid;A-n54-k7.vrp;753.3029799844744;739.6464148222544;699.4935263522411;
general_VNS_big;A-n54-k7.vrp;726.2947784183567;720.492002205679;685.0197910762063;
general_VNS_small;A-n55-k9.vrp;938.7992138216727;936.7289581075158;844.5245691391488;
general_VNS_mid;A-n55-k9.vrp;670.2496978157466;660.6947030149679;633.7442398899444;
general_VNS_big;A-n55-k9.vrp;651.8583311219298;652.3792690979088;624.7084465998457;
general_VNS_small;A-n60-k9.vrp;1144.899365355471;1147.0321820146046;986.274728800057;
general_VNS_mid;A-n60-k9.vrp;745.5482925995781;745.2464646733288;683.3568582245539;
general_VNS_big;A-n60-k9.vrp;734.9368216253752;741.6412449789163;683.3568582245538;
general_VNS_small;A-n61-k9.vrp;885.3580010962057;884.3330919286987;821.7047986407067;
general_VNS_mid;A-n61-k9.vrp;648.0454424180036;652.3296554019846;585.867499170593;
general_VNS_big;A-n61-k9.vrp;636.4678874116343;635.7502480625216;579.9999465723579;
general_VNS_small;A-n62-k8.vrp;1341.1218591806112;1359.5668986517794;1087.6274271721607;
general_VNS_mid;A-n62-k8.vrp;813.8235774132388;801.3609747582748;781.1144173631251;
general_VNS_big;A-n62-k8.vrp;801.8326920516791;798.1255345734594;776.4439647067859;
general_VNS_small;A-n63-k10.vrp;1151.807042720661;1156.5269076278187;1034.7297184613765;
general_VNS_mid;A-n63-k10.vrp;767.3750127500297;763.442933149064;721.5307644760085;
general_VNS_big;A-n63-k10.vrp;758.5684326119544;746.6313095658342;716.9049591225518;
general_VNS_small;A-n63-k9.vrp;1549.9577034160575;1558.0716188358192;1319.3584814831702;
general_VNS_mid;A-n63-k9.vrp;901.7122404644253;887.895647889315;818.360624871035;
general_VNS_big;A-n63-k9.vrp;888.6394808904414;886.144677043314;816.5858096082395;
general_VNS_small;A-n64-k9.vrp;1395.3118373310601;1382.3111375192257;1211.6690244279855;
general_VNS_mid;A-n64-k9.vrp;831.7923492833726;814.9213273618691;746.9780179322496;
general_VNS_big;A-n64-k9.vrp;791.240014581085;778.0141236302243;744.5964155483375;
general_VNS_small;A-n65-k9.vrp;1102.1423516596678;1101.4713913496666;994.7741045006533;
general_VNS_mid;A-n65-k9.vrp;748.263785308552;754.7651551713907;685.4483204187338;
general_VNS_big;A-n65-k9.vrp;736.1711143853904;734.6868487130824;667.576064508232;
general_VNS_small;A-n69-k9.vrp;1110.8878739726815;1111.5174346564859;1025.9660918822408;
general_VNS_mid;A-n69-k9.vrp;808.3619687089734;809.5514901949771;753.8529951235955;
general_VNS_big;A-n69-k9.vrp;801.1114489002688;800.1091110423871;765.4444893231453;
general_VNS_small;A-n80-k10.vrp;1963.775994907664;1947.3210449508315;1737.3798307918405;
general_VNS_mid;A-n80-k10.vrp;1119.2582743787598;1108.408695950448;1057.370471502013;
general_VNS_big;A-n80-k10.vrp;1103.2997716315697;1092.10224975443;1050.7491783215403;
general_VNS_small;B-n35-k5.vrp;976.9119894886442;946.5033076499475;761.4255018518709;
general_VNS_mid;B-n35-k5.vrp;627.3083223815997;589.8129521832017;558.738135854944;
general_VNS_big;B-n35-k5.vrp;626.051766165647;587.8837101400575;557.810179257349;
general_VNS_small;B-n38-k6.vrp;655.8720102505877;635.3097181146743;548.6718583997325;
general_VNS_mid;B-n38-k6.vrp;446.1897420187721;428.9566846166248;407.06978378029623;
general_VNS_big;B-n38-k6.vrp;435.3032011555395;421.7266273111189;407.06978378029623;
general_VNS_small;B-n39-k5.vrp;527.8265311819745;509.9964688985249;425.66807106492894;
general_VNS_mid;B-n39-k5.vrp;370.12189011095074;376.33900340600445;318.09396279727594;
general_VNS_big;B-n39-k5.vrp;348.3343125022194;327.7743930866602;318.09396279727594;
general_VNS_small;B-n41-k6.vrp;696.1548813878438;671.782244714558;535.7623701868472;
general_VNS_mid;B-n41-k6.vrp;478.2352831994727;477.5007364328101;425.9591436998902;
general_VNS_big;B-n41-k6.vrp;466.74116163747624;473.1294641112604;431.55247844145185;
general_VNS_small;B-n43-k6.vrp;611.1278146962994;608.0615614515;489.0201859468616;
general_VNS_mid;B-n43-k6.vrp;417.20831082698146;413.90054084115854;386.6345594018887;
general_VNS_big;B-n43-k6.vrp;410.5601852093542;410.9460787406774;400.7146093024614;
general_VNS_small;B-n45-k5.vrp;731.2011373488081;731.041400738176;663.4327015838122;
general_VNS_mid;B-n45-k5.vrp;542.1264472146195;526.9896082211892;514.0779763454451;
general_VNS_big;B-n45-k5.vrp;557.26008601454;570.1923852047813;514.0779763454451;
general_VNS_small;B-n50-k7.vrp;608.2442603951113;608.5502778602691;506.56613254247117;
general_VNS_mid;B-n50-k7.vrp;470.68589552843594;465.5383334462957;430.38691109410456;
general_VNS_big;B-n50-k7.vrp;462.085259113591;453.22778984399395;430.2463941081942;
general_VNS_small;B-n50-k8.vrp;916.6869157942967;921.420556665445;805.8306279756264;
general_VNS_mid;B-n50-k8.vrp;680.9373898538237;690.5373424985621;634.2943412375475;
general_VNS_big;B-n50-k8.vrp;675.6433394476719;668.9863285865586;595.6379923728591;
general_VNS_small;B-n51-k7.vrp;838.2609155163191;830.9892847935712;710.3526666761364;
general_VNS_mid;B-n51-k7.vrp;551.6893915963998;537.4300485414311;492.8559493311777;
general_VNS_big;B-n51-k7.vrp;542.9438014680392;509.6695704159541;491.978551924831;
general_VNS_small;B-n52-k7.vrp;669.4670506736921;646.3434997786231;586.2859695216873;
general_VNS_mid;B-n52-k7.vrp;465.5962409181866;454.64507691589705;426.61565854748574;
general_VNS_big;B-n52-k7.vrp;461.8338883995656;448.3117057082692;417.911072405439;
general_VNS_small;B-n56-k7.vrp;613.1614257151066;610.3392272990661;562.2414074447601;
general_VNS_mid;B-n56-k7.vrp;430.6348307551016;425.4831104590532;397.6542674975535;
general_VNS_big;B-n56-k7.vrp;442.14356533528115;418.2451916265535;397.354262735151;
general_VNS_small;B-n57-k7.vrp;995.79269894633;1013.7241145413559;856.7235905576665;
general_VNS_mid;B-n57-k7.vrp;633.8457684625929;643.9631248770829;539.2237311727861;
general_VNS_big;B-n57-k7.vrp;648.6773939541421;640.5765874015351;530.2215638864411;
general_VNS_small;B-n57-k9.vrp;1353.5282473149753;1368.357504925671;1004.05448361251;
general_VNS_mid;B-n57-k9.vrp;719.4841493718822;716.5001096264945;576.1460696293682;
general_VNS_big;B-n57-k9.vrp;722.2514690216685;701.9742586211948;664.6287705305551;
general_VNS_small;B-n63-k10.vrp;1341.063326719977;1337.2500583682834;1132.6722486912572;
general_VNS_mid;B-n63-k10.vrp;748.7969452782307;719.5659975796998;673.1609608654787;
general_VNS_big;B-n63-k10.vrp;722.8886628390391;695.2843023429184;665.0337443603839;
general_VNS_small;B-n64-k9.vrp;684.2395043709166;683.6917102403092;607.9376422639263;
general_VNS_mid;B-n64-k9.vrp;527.7459315137633;516.658067715071;462.17618797634594;
general_VNS_big;B-n64-k9.vrp;534.2092571279454;524.3034273528455;451.67075512195623;
